Experience_Years,Job_Position,Salary,Company_Size,Year
24,Data Analyst,36.0,100,2022
1,Data Analyst,18000.0,1000,2022
18,Data Analyst,160000.0,100,2022
11,Data Analyst,65591.0,1000,2022
12,Data Analyst,39888.0,1000,2022
1,Data Analyst,28261.0,100000,2022
17,Data Analyst,117900.0,100000,2022
6,Data Analyst,26196.0,1000,2022
3,Data Analyst,17052.0,1000,2022
17,Data Analyst,78000.0,100,2022
15,Data Analyst,66600.0,100000,2022
3,Data Analyst,62820.0,100,2022
11,Data Analyst,87000.0,1000,2022
7,Data Analyst,7025.0,1000,2022
2,Data Analyst,8976.0,10,2022
26,Data Analyst,85000.0,50000,2022
38,Data Analyst,8250000.0,10000,2022
7,Data Analyst,60000.0,100,2022
46,Data Analyst,104000.0,100,2022
5,Data Analyst,51000.0,1000,2022
5,Data Analyst,80000.0,10,2022
16,Data Analyst,17448.0,10,2022
3,Data Analyst,19188.0,100,2022
5,Data Analyst,40205.0,1000,2022
3,Data Analyst,15600.0,100,2022
28,Data Analyst,213287.0,1000,2022
4,Data Analyst,4000000.0,1000,2022
8,Data Analyst,85000.0,10,2022
10,Data Analyst,135000.0,100,2022
18,Data Analyst,62320.0,50000,2022
7,Data Analyst,29280.0,100,2022
10,Data Analyst,40608.0,100000,2022
4,Data Analyst,10963.0,100000,2022
4,Data Analyst,29273.0,100000,2022
9,Data Analyst,61853.0,100000,2022
22,Data Analyst,57288.0,1000,2022
6,Data Analyst,20784.0,10,2022
29,Data Analyst,258000.0,1000,2022
1,Data Analyst,30153.0,1000,2022
6,Data Analyst,18056.0,100000,2022
8,Data Analyst,8400.0,1000,2022
30,Data Analyst,113075.0,100,2022
25,Data Analyst,68277.0,1000,2022
14,Data Analyst,115000.0,1000,2022
17,Data Analyst,110000.0,1000,2022
15,Data Analyst,160000.0,100000,2022
18,Data Analyst,240000.0,100,2022
25,Data Analyst,152000.0,50000,2022
22,Data Analyst,33324.0,100000,2022
1,Data Analyst,78084.0,100,2022
17,Data Analyst,75384.0,50000,2022
7,Data Analyst,13404.0,1000,2022
4,Data Analyst,58654.0,100000,2022
5,Data Analyst,335000.0,50000,2022
6,Data Analyst,145000.0,100000,2022
1,Data Analyst,280000.0,100000,2022
34,Data Analyst,150000.0,100,2022
16,Data Analyst,242443.0,50000,2022
1,Data Analyst,13656.0,10,2022
3,Data Analyst,7536.0,100,2022
8,Data Analyst,66119.0,50000,2022
8,Data Analyst,45140.0,100000,2022
14,Data Analyst,76788.0,10,2022
15,Data Analyst,91358.0,50000,2022
5,Data Analyst,24084.0,100,2022
10,Data Analyst,97571.0,50000,2022
15,Data Analyst,137000.0,1000,2022
16,Data Analyst,95979.0,100,2022
2,Data Analyst,38392.0,10,2022
5,Data Analyst,66372.0,1000,2022
14,Data Analyst,120000.0,10,2022
16,Data Analyst,33852.0,10,2022
4,Data Analyst,53322.0,50000,2022
25,Data Analyst,81387.0,50000,2022
36,Data Analyst,140551.0,10,2022
10,Data Analyst,165000.0,100,2022
23,Data Analyst,200000.0,100000,2022
25,Data Analyst,149922.0,100,2022
4,Data Analyst,95000.0,100000,2022
8,Data Analyst,3335496.0,1000,2022
15,Data Analyst,7509.0,100,2022
8,Data Analyst,39888.0,100000,2022
11,Data Analyst,20664.0,100,2022
8,Data Analyst,165000.0,100,2022
7,Data Analyst,38392.0,1000,2022
2,Data Analyst,12897.0,100000,2022
16,Data Analyst,31092.0,100,2022
3,Data Analyst,85500.0,100000,2022
6,Data Analyst,5280.0,1000,2022
2,Data Analyst,5804.0,10000,2022
10,Data Analyst,18000.0,100000,2022
15,Data Analyst,150767.0,100000,2022
2,Data Analyst,8472.0,100,2022
6,Data Analyst,42552.0,100,2022
11,Data Analyst,41568.0,100,2022
26,Data Analyst,101578.0,10,2022
18,Data Analyst,16860.0,1000,2022
10,Data Analyst,275000.0,100000,2022
1,Data Analyst,18120.0,100000,2022
3,Data Analyst,20316.0,50000,2022
3,Data Analyst,117308.0,50000,2022
19,Data Analyst,43368.0,10,2022
21,Data Analyst,10152.0,100,2022
1,Data Analyst,14436.0,100,2022
10,Data Analyst,98112.0,100,2022
9,Data Analyst,18056.0,100,2022
40,Data Analyst,138637.0,100000,2022
1,Data Analyst,2044.0,10,2022
22,Data Analyst,175000.0,50000,2022
19,Data Analyst,74640.0,1000,2022
15,Data Analyst,6912.0,1000,2022
4,Data Analyst,12000.0,10,2022
23,Data Analyst,57588.0,100,2022
3,Data Analyst,57600.0,100,2022
5,Data Analyst,12000.0,10,2022
4,Data Analyst,43642.0,100000,2022
20,Data Analyst,24924.0,100,2022
7,Data Analyst,37200.0,1000,2022
1,Data Analyst,140000.0,10,2022
12,Data Analyst,74928.0,50000,2022
8,Data Analyst,175000.0,100,2022
