YearsCodePro,DevType,ConvertedCompYearly,OrgSize,Year
19,Data Analyst,249869.0,1,2022
27,Data Analyst,67308.0,1000-4999,2022
22,Data Analyst,48000.0,5000-9999,2022
3,Data Analyst,14448.0,1,2022
14,Data Analyst,155696.0,10000+,2022
5,Data Analyst,175000.0,100-1000,2022
5,Data Analyst,92002.0,1000-4999,2022
24,Data Analyst,85000.0,100-1000,2022
10,Data Analyst,8196.0,100-1000,2022
15,Data Analyst,75080.0,5000-9999,2022
20,Data Analyst,77383.0,10000+,2022
3,Data Analyst,26594.0,1000-4999,2022
15,Data Analyst,41460.0,100-1000,2022
3,Data Analyst,78084.0,10-100,2022
4,Data Analyst,90000.0,10-100,2022
5,Data Analyst,30600.0,5000-9999,2022
4,Data Analyst,1250000.0,10-100,2022
18,Data Analyst,89797.0,5000-9999,2022
1,Data Analyst,210000.0,10-100,2022
1,Data Analyst,5412.0,10000+,2022
6,Data Analyst,934200.0,10000+,2022
1,Data Analyst,30348.0,10-100,2022
28,Data Analyst,18000.0,2-9,2022
10,Data Analyst,51710.0,5000-9999,2022
2,Data Analyst,4643.0,100-1000,2022
30,Data Analyst,127388.0,2-9,2022
1,Data Analyst,9170.0,0,2022
8,Data Analyst,47456.0,2-9,2022
21,Data Analyst,70000.0,1000-4999,2022
13,Data Analyst,73728.0,2-9,2022
19,Data Analyst,31992.0,2-9,2022
20,Data Analyst,101312.0,10-100,2022
6,Data Analyst,77848.0,10000+,2022
30,Data Analyst,85300.0,10000+,2022
25,Data Analyst,31993.0,1,2022
20,Data Analyst,225000.0,10-100,2022
25,Data Analyst,42657.0,1000-4999,2022
9,Data Analyst,65364.0,1000-4999,2022
2,Data Analyst,1644.0,10-100,2022
6,Data Analyst,79983.0,10000+,2022
12,Data Analyst,139284.0,100-1000,2022
Less than 1 year,Data Analyst,7738.0,100-1000,2022
19,Data Analyst,84924.0,10000+,2022
23,Data Analyst,75384.0,10-100,2022
3,Data Analyst,1037508.0,1000-4999,2022
6,Data Analyst,56538.0,10000+,2022
20,Data Analyst,25596.0,2-9,2022
7,Data Analyst,63984.0,10-100,2022
20,Data Analyst,58872.0,5000-9999,2022
27,Data Analyst,159966.0,2-9,2022
4,Data Analyst,63986.0,10000+,2022
2,Data Analyst,49980.0,100-1000,2022
26,Data Analyst,77850.0,5000-9999,2022
10,Data Analyst,145464.0,100-1000,2022
5,Data Analyst,59568.0,10-100,2022
33,Data Analyst,25596.0,100-1000,2022
4,Data Analyst,21312.0,10000+,2022
28,Data Analyst,49860.0,1,2022
12,Data Analyst,159966.0,10-100,2022
12,Data Analyst,41591.0,100-1000,2022
8,Data Analyst,46764.0,100-1000,2022
12,Data Analyst,102372.0,1,2022
5,Data Analyst,25596.0,10-100,2022
24,Data Analyst,145188.0,100-1000,2022
4,Data Analyst,39313.0,1000-4999,2022
10,Data Analyst,29916.0,10-100,2022
10,Data Analyst,23244.0,10-100,2022
36,Data Analyst,75725.0,10-100,2022
3,Data Analyst,106793.0,100-1000,2022
4,Data Analyst,73136.0,5000-9999,2022
5,Data Analyst,43974.0,1000-4999,2022
25,Data Analyst,51600.0,10000+,2022
4,Data Analyst,251279.0,10-100,2022
10,Data Analyst,199428.0,2-9,2022
18,Data Analyst,34896.0,100-1000,2022
5,Data Analyst,5568.0,10-100,2022
4,Data Analyst,96180.0,10-100,2022
4,Data Analyst,4260.0,100-1000,2022
4,Data Analyst,44400.0,10-100,2022
3,Data Analyst,753840.0,5000-9999,2022
20,Data Analyst,215000.0,100-1000,2022
14,Data Analyst,89581.0,10-100,2022
10,Data Analyst,75384.0,100-1000,2022
6,Data Analyst,76783.0,1,2022
27,Data Analyst,76788.0,10000+,2022
38,Data Analyst,37699.0,1000-4999,2022
10,Data Analyst,30528.0,100-1000,2022
4,Data Analyst,30953.0,10000+,2022
5,Data Analyst,15036.0,100-1000,2022
2,Data Analyst,46240.0,10-100,2022
20,Data Analyst,37392.0,2-9,2022
Less than 1 year,Data Analyst,57000.0,100-1000,2022
25,Data Analyst,80409.0,10000+,2022
14,Data Analyst,168267.0,100-1000,2022
28,Data Analyst,25596.0,1,2022
3,Data Analyst,139284.0,100-1000,2022
5,Data Analyst,21329.0,10-100,2022
29,Data Analyst,160000.0,2-9,2022
10,Data Analyst,53322.0,100-1000,2022
5,Data Analyst,57500.0,5000-9999,2022
10,Data Analyst,52416.0,1000-4999,2022
1,Data Analyst,61200.0,100-1000,2022
3,Data Analyst,95000.0,5000-9999,2022
24,Data Analyst,36.0,10-100,2022
1,Data Analyst,18000.0,100-1000,2022
18,Data Analyst,160000.0,10-100,2022
11,Data Analyst,65591.0,100-1000,2022
12,Data Analyst,39888.0,100-1000,2022
2,Data Analyst,56617.0,1,2022
Less than 1 year,Data Analyst,28261.0,10000+,2022
17,Data Analyst,117900.0,10000+,2022
6,Data Analyst,26196.0,100-1000,2022
3,Data Analyst,17052.0,100-1000,2022
17,Data Analyst,78000.0,10-100,2022
15,Data Analyst,66600.0,10000+,2022
29,Data Analyst,216000.0,1,2022
3,Data Analyst,62820.0,10-100,2022
11,Data Analyst,87000.0,100-1000,2022
7,Data Analyst,7025.0,100-1000,2022
2,Data Analyst,8976.0,2-9,2022
26,Data Analyst,85000.0,1000-4999,2022
38,Data Analyst,8250000.0,5000-9999,2022
