YearsCodedJob,DeveloperType,Salary,CompanySize,Year
3,Data Scientist,9543.38569960358,100-1000,2017
3,Data Scientist,103000.0,5000-9999,2017
5,Data Scientist,14682.131845544,10-100,2017
12,Data Scientist,50000.0,1000-4999,2017
4,Data Scientist,30832.4768756423,1000-4999,2017
6,Data Scientist,34946.2365591398,100-1000,2017
10,Data Scientist,7728.33723653396,1000-4999,2017
10,Data Scientist,500.0,100-1000,2017
7,Data Scientist,43801.0393466964,100-1000,2017
1,Data Scientist,60000.0,2-9,2017
5,Data Scientist,64102.5641025641,100-1000,2017
5,Data Scientist,120000.0,1000-4999,2017
6,Data Scientist,85000.0,1000-4999,2017
6,Data Scientist,51612.9032258064,10-100,2017
3,Data Scientist,54000.0,100-1000,2017
5,Data Scientist,43010.752688172,10-100,2017
17,Data Scientist,120000.0,1000-4999,2017
4,Data Scientist,1238.76543209877,1000-4999,2017
10,Data Scientist,127000.0,100-1000,2017
11,Data Scientist,159120.0,1000-4999,2017
3,Data Scientist,54838.7096774193,1000-4999,2017
16,Data Scientist,140000.0,100-1000,2017
4,Data Scientist,85167.4641148325,100-1000,2017
1,Data Scientist,6451.61290322581,10-100,2017
13,Data Scientist,80645.1612903226,1000-4999,2017
11,Data Scientist,36021.5053763441,2-9,2017
9,Data Scientist,19354.8387096774,10-100,2017
2,Data Scientist,385.873927270482,10-100,2017
16,Data Scientist,38709.6774193548,1000-4999,2017
13,Data Scientist,86021.5053763441,10-100,2017
6,Data Scientist,59139.7849462366,10-100,2017
13,Data Scientist,75000.0,10-100,2017
6,Data Scientist,43750.0,10-100,2017
13,Data Scientist,43010.752688172,100-1000,2017
5,Data Scientist,48387.0967741935,10-100,2017
8,Data Scientist,51612.9032258064,1000-4999,2017
5,Data Scientist,52500.0,100-1000,2017
3,Data Scientist,48000.0,10-100,2017
1,Data Scientist,30303.0303030303,2-9,2017
16,Data Scientist,133125.0,5000-9999,2017
3,Data Scientist,60606.0606060606,2-9,2017
2,Data Scientist,3670.53296138599,10-100,2017
6,Data Scientist,12903.2258064516,100-1000,2017
8,Data Scientist,62500.0,10-100,2017
5,Data Scientist,43010.752688172,100-1000,2017
20,Data Scientist,16129.0322580645,10-100,2017
5,Data Scientist,15591.3978494624,100-1000,2017
1,Data Scientist,27500.0,10-100,2017
6,Data Scientist,13774.1046831956,100-1000,2017
4,Data Scientist,37500.0,100-1000,2017
8,Data Scientist,2972.97297297297,10-100,2017
4,Data Scientist,43010.752688172,1000-4999,2017
3,Data Scientist,25000.0,10-100,2017
7,Data Scientist,80000.0,2-9,2017
7,Data Scientist,752.688172043011,2-9,2017
11,Data Scientist,62365.5913978495,10000+,2017
20,Data Scientist,120000.0,10-100,2017
5,Data Scientist,125000.0,10-100,2017
13,Data Scientist,100000.0,10-100,2017
2,Data Scientist,40000.0,10-100,2017
10,Data Scientist,53503.1847133758,1000-4999,2017
11,Data Scientist,11483.2535885167,10000+,2017
15,Data Scientist,98000.0,2-9,2017
3,Data Scientist,38369.9737514498,10000+,2017
2,Data Scientist,51612.9032258064,10-100,2017
10,Data Scientist,66666.6666666667,10000+,2017
8,Data Scientist,2365.59139784946,100-1000,2017
20,Data Scientist,59139.7849462366,100-1000,2017
6,Data Scientist,24060.1503759398,10-100,2017
8,Data Scientist,40860.2150537634,10000+,2017
1,Data Scientist,45161.2903225806,100-1000,2017
20,Data Scientist,33416.8755221387,10000+,2017
3,Data Scientist,62500.0,10-100,2017
5,Data Scientist,15923.5668789809,10000+,2017
3,Data Scientist,45161.2903225806,10-100,2017
4,Data Scientist,104400.0,1000-4999,2017
2,Data Scientist,8075.17251504918,1000-4999,2017
3,Data Scientist,41397.8494623656,10-100,2017
6,Data Scientist,2150.5376344086,10-100,2017
13,Data Scientist,120000.0,10-100,2017
20,Data Scientist,105000.0,1000-4999,2017
11,Data Scientist,33333.3333333333,10-100,2017
4,Data Scientist,17204.3010752688,10000+,2017
8,Data Scientist,150000.0,10000+,2017
18,Data Scientist,107526.88172043,100-1000,2017
10,Data Scientist,111000.0,10-100,2017
4,Data Scientist,110000.0,10000+,2017
3,Data Scientist,66000.0,100-1000,2017
1,Data Scientist,66000.0,2-9,2017
20,Data Scientist,101515.151515152,100-1000,2017
1,Data Scientist,40000.0,10-100,2017
10,Data Scientist,21755.7251908397,10-100,2017
2,Data Scientist,42030.1075268817,100-1000,2017
3,Data Scientist,53.763440860215,10-100,2017
10,Data Scientist,118279.569892473,10000+,2017
2,Data Scientist,3870.96774193548,2-9,2017
11,Data Scientist,71969.696969697,1000-4999,2017
3,Data Scientist,48387.0967741935,10000+,2017
2,Data Scientist,1718.6264737222,10-100,2017
1,Data Scientist,20430.1075268817,10000+,2017
10,Data Scientist,23655.9139784946,100-1000,2017
16,Data Scientist,64516.1290322581,10-100,2017
11,Data Scientist,83333.3333333333,1000-4999,2017
5,Data Scientist,40860.2150537634,100-1000,2017
4,Data Scientist,82000.0,10-100,2017
6,Data Scientist,65789.4736842105,100-1000,2017
5,Data Scientist,113000.0,1000-4999,2017
3,Data Scientist,42500.0,10-100,2017
6,Data Scientist,35483.8709677419,2-9,2017
17,Data Scientist,180000.0,10-100,2017
4,Data Scientist,72000.0,10000+,2017
4,Data Scientist,90000.0,10-100,2017
6,Data Scientist,68181.8181818182,10000+,2017
20,Data Scientist,76000.0,10-100,2017
4,Data Scientist,61290.3225806452,100-1000,2017
15,Data Scientist,59139.7849462366,10-100,2017
4,Data Scientist,64516.1290322581,5000-9999,2017
1,Data Scientist,1478.49462365591,2-9,2017
3,Data Scientist,39784.9462365591,10-100,2017
20,Data Scientist,69696.9696969697,1000-4999,2017
2,Data Scientist,8815.42699724518,2-9,2017
6,Data Scientist,40860.2150537634,10000+,2017
1,Data Scientist,53763.4408602151,100-1000,2017
4,Data Scientist,1273.88535031847,100-1000,2017
17,Data Scientist,19108.2802547771,10000+,2017
6,Data Scientist,143750.0,10000+,2017
7,Data Scientist,76000.0,10-100,2017
1,Data Scientist,30400.0,10000+,2017
20,Data Scientist,151515.151515152,100-1000,2017
14,Data Scientist,48387.0967741935,100-1000,2017
7,Data Scientist,68181.8181818182,10-100,2017
2,Data Scientist,40000.0,5000-9999,2017
10,Data Scientist,33416.8755221387,10-100,2017
7,Data Scientist,72000.0,100-1000,2017
11,Data Scientist,59139.7849462366,100-1000,2017
4,Data Scientist,42150.5376344086,10-100,2017
12,Data Scientist,43750.0,10-100,2017
11,Data Scientist,44444.4444444444,10000+,2017
3,Data Scientist,46250.0,10000+,2017
9,Data Scientist,110000.0,100-1000,2017
4,Data Scientist,30107.5268817204,2-9,2017
6,Data Scientist,70000.0,I don't know,2017
4,Data Scientist,50500.0,10-100,2017
5,Data Scientist,94339.6226415094,10000+,2017
2,Data Scientist,7408.77940359326,10-100,2017
4,Data Scientist,45454.5454545455,I don't know,2017
14,Data Scientist,80500.0,10-100,2017
1,Data Scientist,40000.0,10000+,2017
8,Data Scientist,64516.1290322581,5000-9999,2017
5,Data Scientist,18000.0,10000+,2017
2,Data Scientist,15053.7634408602,100-1000,2017
4,Data Scientist,50000.0,2-9,2017
4,Data Scientist,19569.8924731183,5000-9999,2017
20,Data Scientist,165000.0,5000-9999,2017
20,Data Scientist,116000.0,10000+,2017
4,Data Scientist,52500.0,10000+,2017
15,Data Scientist,134000.0,1000-4999,2017
3,Data Scientist,47500.0,100-1000,2017
20,Data Scientist,2172.09690893901,1000-4999,2017
2,Data Scientist,45161.2903225806,2-9,2017
10,Data Scientist,54193.5483870968,100-1000,2017
4,Data Scientist,21505.376344086,2-9,2017
6,Data Scientist,150000.0,10000+,2017
11,Data Scientist,150000.0,10000+,2017
8,Data Scientist,156250.0,10000+,2017
16,Data Scientist,71875.0,10000+,2017
4,Data Scientist,33548.3870967742,10-100,2017
2,Data Scientist,40860.2150537634,100-1000,2017
9,Data Scientist,45000.0,1000-4999,2017
2,Data Scientist,9032.25806451613,10-100,2017
20,Data Scientist,43010.752688172,100-1000,2017
2,Data Scientist,37500.0,10000+,2017
7,Data Scientist,6088.99297423888,100-1000,2017
2,Data Scientist,102000.0,10000+,2017
10,Data Scientist,98484.8484848485,10-100,2017
2,Data Scientist,21505.376344086,100-1000,2017
20,Data Scientist,135000.0,1000-4999,2017
4,Data Scientist,8062.10809196775,10-100,2017
1,Data Scientist,60000.0,10-100,2017
6,Data Scientist,62365.5913978495,2-9,2017
3,Data Scientist,32258.064516129,10-100,2017
3,Data Scientist,40625.0,100-1000,2017
6,Data Scientist,30869.9141816386,2-9,2017
3,Data Scientist,16216.2162162162,10-100,2017
4,Data Scientist,16129.0322580645,10-100,2017
4,Data Scientist,43010.752688172,10000+,2017
4,Data Scientist,11745.7054764352,10000+,2017
16,Data Scientist,54298.6425339367,10-100,2017
2,Data Scientist,27896.0505065335,10000+,2017
2,Data Scientist,52500.0,10000+,2017
1,Data Scientist,34408.6021505376,5000-9999,2017
17,Data Scientist,59626.8817204301,1000-4999,2017
5,Data Scientist,77751.1961722488,100-1000,2017
3,Data Scientist,5110.04784688995,5000-9999,2017
4,Data Scientist,32258.064516129,10-100,2017
17,Data Scientist,53750.0,100-1000,2017
4,Data Scientist,38709.6774193548,10-100,2017
