YearsCodePro,DevType,ConvertedComp,OrgSize,Year
25,Data Analyst,1000000.0,1,2020
2,Data Analyst,59454.0,5000-9999,2020
4,Data Analyst,10052.0,100-1000,2020
7,Data Analyst,43596.0,100-1000,2020
5,Data Analyst,8040.0,10-100,2020
14,Data Analyst,98321.0,10-100,2020
15,Data Analyst,33504.0,1000-4999,2020
32,Data Analyst,16034.0,1,2020
6,Data Analyst,11904.0,100-1000,2020
1,Data Analyst,2484.0,100-1000,2020
10,Data Analyst,84048.0,100-1000,2020
9,Data Analyst,93533.0,100-1000,2020
2,Data Analyst,45097.0,100-1000,2020
3,Data Analyst,35972.0,10-100,2020
11,Data Analyst,418848.0,10000+,2020
25,Data Analyst,110000.0,1000-4999,2020
20,Data Analyst,32316.0,2-9,2020
12,Data Analyst,972888.0,100-1000,2020
16,Data Analyst,75390.0,100-1000,2020
6,Data Analyst,16464.0,10-100,2020
7,Data Analyst,7116.0,10-100,2020
10,Data Analyst,47256.0,1000-4999,2020
5,Data Analyst,17452.0,5000-9999,2020
3,Data Analyst,1308.0,10-100,2020
2,Data Analyst,6981.0,10000+,2020
8,Data Analyst,4189.0,1000-4999,2020
2,Data Analyst,432.0,10-100,2020
1,Data Analyst,55000.0,10-100,2020
Less than 1 year,Data Analyst,25440.0,10-100,2020
9,Data Analyst,15564.0,100-1000,2020
1,Data Analyst,754536.0,100-1000,2020
14,Data Analyst,73491.0,1000-4999,2020
4,Data Analyst,150000.0,100-1000,2020
6,Data Analyst,38436.0,10-100,2020
12,Data Analyst,60360.0,5000-9999,2020
5,Data Analyst,158000.0,10-100,2020
18,Data Analyst,24660.0,100-1000,2020
4,Data Analyst,28308.0,100-1000,2020
29,Data Analyst,33405.0,1000-4999,2020
16,Data Analyst,34932.0,100-1000,2020
8,Data Analyst,33510.0,2-9,2020
4,Data Analyst,8098.0,10-100,2020
More than 50 years,Data Analyst,1000000.0,100-1000,2020
5,Data Analyst,9216.0,100-1000,2020
1,Data Analyst,23565.0,100-1000,2020
3,Data Analyst,7908.0,100-1000,2020
2,Data Analyst,9773.0,10-100,2020
4,Data Analyst,10471.0,1000-4999,2020
16,Data Analyst,31812.0,2-9,2020
3,Data Analyst,36000.0,1000-4999,2020
3,Data Analyst,25944.0,10-100,2020
1,Data Analyst,15358.0,10000+,2020
23,Data Analyst,4176.0,1000-4999,2020
2,Data Analyst,24863.0,10-100,2020
2,Data Analyst,75669.0,1000-4999,2020
5,Data Analyst,30984.0,5000-9999,2020
1,Data Analyst,55000.0,100-1000,2020
1,Data Analyst,36324.0,100-1000,2020
4,Data Analyst,25440.0,10-100,2020
2,Data Analyst,37834.0,10000+,2020
5,Data Analyst,16754.0,10000+,2020
8,Data Analyst,33510.0,10000+,2020
2,Data Analyst,184296.0,2-9,2020
13,Data Analyst,50411.0,100-1000,2020
4,Data Analyst,60961.0,10-100,2020
1,Data Analyst,11867.0,10000+,2020
6,Data Analyst,22704.0,10-100,2020
6,Data Analyst,20940.0,10000+,2020
6,Data Analyst,80000.0,1,2020
5,Data Analyst,117276.0,10000+,2020
4,Data Analyst,14916.0,2-9,2020
7,Data Analyst,55847.0,100-1000,2020
5,Data Analyst,10344.0,10-100,2020
5,Data Analyst,101649.0,10000+,2020
10,Data Analyst,38916.0,10-100,2020
3,Data Analyst,36324.0,10-100,2020
2,Data Analyst,11169.0,100-1000,2020
3,Data Analyst,8377.0,2-9,2020
3,Data Analyst,7536.0,10-100,2020
8,Data Analyst,59454.0,10-100,2020
