YearsCodingProf,DevType,ConvertedSalary,CompanySize,Year
2,Data Analyst,15000.0,100-1000,2018
11,Data Analyst,105000.0,100-1000,2018
2,Data Analyst,85000.0,5000-9999,2018
5,Data Analyst,9393.0,10-100,2018
8,Data Analyst,48000.0,100-1000,2018
29,Data Analyst,30840.0,100-1000,2018
5,Data Analyst,90000.0,10-100,2018
14,Data Analyst,29940.0,10-100,2018
20,Data Analyst,63896.0,1000-4999,2018
17,Data Analyst,87971.0,Fewer than 10 employees,2018
2,Data Analyst,80500.0,10000+,2018
11,Data Analyst,73433.0,10-100,2018
2,Data Analyst,40.0,10-100,2018
5,Data Analyst,27120.0,1000-4999,2018
2,Data Analyst,55392.0,100-1000,2018
14,Data Analyst,125000.0,1000-4999,2018
14,Data Analyst,75000.0,10000+,2018
5,Data Analyst,140000.0,10000+,2018
8,Data Analyst,36720.0,10000+,2018
5,Data Analyst,90000.0,100-1000,2018
11,Data Analyst,83972.0,10-100,2018
30,Data Analyst,104029.0,1000-4999,2018
2,Data Analyst,37440.0,5000-9999,2018
5,Data Analyst,93996.0,1000-4999,2018
23,Data Analyst,145000.0,10-100,2018
11,Data Analyst,765138.0,1000-4999,2018
2,Data Analyst,83342.0,10-100,2018
5,Data Analyst,20964.0,100-1000,2018
5,Data Analyst,2256.0,10-100,2018
5,Data Analyst,53000.0,1000-4999,2018
2,Data Analyst,58661.0,10000+,2018
11,Data Analyst,34440.0,100-1000,2018
11,Data Analyst,145000.0,100-1000,2018
2,Data Analyst,1200000.0,10-100,2018
5,Data Analyst,5916.0,10-100,2018
11,Data Analyst,150000.0,100-1000,2018
5,Data Analyst,61194.0,1000-4999,2018
8,Data Analyst,85671.0,10000+,2018
30,Data Analyst,100000.0,5000-9999,2018
11,Data Analyst,63979.0,10-100,2018
8,Data Analyst,50485.0,10-100,2018
2,Data Analyst,78900.0,10-100,2018
8,Data Analyst,89672.0,100-1000,2018
8,Data Analyst,130000.0,10000+,2018
14,Data Analyst,15000.0,10-100,2018
2,Data Analyst,39876.0,10-100,2018
11,Data Analyst,44449.0,5000-9999,2018
5,Data Analyst,8268.0,10000+,2018
14,Data Analyst,97202.0,1000-4999,2018
5,Data Analyst,225420.0,10000+,2018
8,Data Analyst,734328.0,Fewer than 10 employees,2018
20,Data Analyst,90288.0,10-100,2018
2,Data Analyst,624000.0,5000-9999,2018
2,Data Analyst,8988.0,Fewer than 10 employees,2018
23,Data Analyst,87971.0,10-100,2018
8,Data Analyst,618408.0,100-1000,2018
8,Data Analyst,2000000.0,10-100,2018
2,Data Analyst,62400.0,10000+,2018
5,Data Analyst,12100.0,1000-4999,2018
