,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
281,2022,SE,FT,Data Scientist,205300,USD,205300,US,0,US,L
282,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,L
283,2022,SE,FT,Data Scientist,176000,USD,176000,US,100,US,M
284,2022,SE,FT,Data Scientist,144000,USD,144000,US,100,US,M
285,2022,SE,FT,Data Engineer,200100,USD,200100,US,100,US,M
286,2022,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
287,2022,SE,FT,Data Engineer,145000,USD,145000,US,100,US,M
288,2022,SE,FT,Data Engineer,70500,USD,70500,US,0,US,M
289,2022,SE,FT,Data Scientist,205300,USD,205300,US,0,US,M
290,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,M
291,2022,SE,FT,Analytics Engineer,205300,USD,205300,US,0,US,M
292,2022,SE,FT,Analytics Engineer,184700,USD,184700,US,0,US,M
293,2022,SE,FT,Data Engineer,175100,USD,175100,US,100,US,M
294,2022,SE,FT,Data Engineer,140250,USD,140250,US,100,US,M
295,2022,SE,FT,Data Analyst,116150,USD,116150,US,100,US,M
296,2022,SE,FT,Data Engineer,54000,USD,54000,US,0,US,M
297,2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M
298,2022,SE,FT,Data Analyst,80000,USD,80000,US,100,US,M
299,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
300,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
301,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
302,2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
303,2022,SE,FT,Data Analyst,69000,USD,69000,US,100,US,M
304,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
305,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
306,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
307,2022,SE,FT,Data Analyst,150075,USD,150075,US,100,US,M
308,2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
309,2022,SE,FT,Data Engineer,25000,USD,25000,US,100,US,M
310,2022,SE,FT,Data Analyst,126500,USD,126500,US,100,US,M
311,2022,SE,FT,Data Analyst,106260,USD,106260,US,100,US,M
312,2022,SE,FT,Data Engineer,220110,USD,220110,US,100,US,M
313,2022,SE,FT,Data Engineer,160080,USD,160080,US,100,US,M
314,2022,SE,FT,Data Analyst,105000,USD,105000,US,100,US,M
315,2022,SE,FT,Data Analyst,110925,USD,110925,US,100,US,M
316,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
317,2022,SE,FT,Data Analyst,99000,USD,99000,US,0,US,M
318,2022,SE,FT,Data Analyst,60000,USD,60000,US,100,US,M
319,2022,SE,FT,Data Architect,192564,USD,192564,US,100,US,M
320,2022,SE,FT,Data Architect,144854,USD,144854,US,100,US,M
321,2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M
322,2022,SE,FT,Data Scientist,150000,USD,150000,US,100,US,M
323,2022,SE,FT,Data Analytics Manager,150260,USD,150260,US,100,US,M
324,2022,SE,FT,Data Analytics Manager,109280,USD,109280,US,100,US,M
325,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
326,2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M
327,2022,MI,FT,Data Scientist,160000,USD,160000,US,100,US,M
328,2022,MI,FT,Data Scientist,130000,USD,130000,US,100,US,M
329,2022,SE,FT,Data Engineer,154000,USD,154000,US,100,US,M
330,2022,SE,FT,Data Engineer,126000,USD,126000,US,100,US,M
331,2022,SE,FT,Data Analyst,129000,USD,129000,US,0,US,M
332,2022,SE,FT,Data Analyst,150000,USD,150000,US,100,US,M
